#  index  lambda  kappa  tanbeta   mu/GeV  Alam/GeV  Akap/GeV  DeltaLambda2  M1  M2  mh125/GeV  mH/GeV  mhS/GeV  C_h125^SM  C_h125^NSM  C_h125^S  C_H^SM  C_H^NSM  C_H^S  C_hS^SM  C_hS^NSM  C_hS^S  failFlag
89  6.393842E-01  -6.393842E-02  3.000000E+00  -3.475411E+02  -1.227979E+03  -3.109866E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249974E+02  1.179743E+03  7.728354E+01  -9.999935E-01  6.408679E-05  -3.603539E-03  -3.322193E-04  -9.972242E-01  7.445689E-02  -3.588764E-03  7.445761E-02  9.972177E-01  1
88  6.393842E-01  -6.393842E-02  3.000000E+00  -2.903657E+02  -1.025959E+03  -3.386298E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250267E+02  9.862310E+02  5.998461E+01  -9.999952E-01  1.690971E-04  -3.102305E-03  -4.444995E-04  -9.960325E-01  8.898903E-02  -3.074949E-03  8.898998E-02  9.960278E-01  1
95  6.393842E-01  -6.393842E-02  3.000000E+00  4.406788E+02  1.557065E+03  4.797637E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249538E+02  1.491344E+03  4.582471E+01  -9.999961E-01  1.084310E-04  2.782052E-03  -2.720577E-04  -9.982649E-01  -5.888235E-02  2.770840E-03  -5.888288E-02  9.982611E-01  1
83  6.393842E-01  -6.393842E-02  3.000000E+00  -3.001284E+02  -1.060454E+03  -4.138743E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249848E+02  1.019323E+03  3.916118E+01  -9.999958E-01  1.529665E-04  -2.889907E-03  -4.006719E-04  -9.963029E-01  8.590908E-02  -2.866082E-03  8.590987E-02  9.962988E-01  1
85  6.393842E-01  -6.393842E-02  3.000000E+00  -3.628282E+02  -1.281993E+03  -3.368164E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250059E+02  1.231605E+03  7.464986E+01  -9.999960E-01  5.521773E-05  -2.813259E-03  -2.556034E-04  -9.974564E-01  7.127860E-02  -2.802167E-03  7.127904E-02  9.974525E-01  1
79  6.393842E-01  -6.393842E-02  3.000000E+00  -1.778021E+02  -6.282341E+02  -2.466596E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249925E+02  6.059306E+02  6.356526E+01  9.999882E-01  -3.564967E-04  4.837738E-03  -1.058179E-03  -9.893093E-01  1.458288E-01  -4.734031E-03  1.458322E-01  9.892980E-01  1
87  6.393842E-01  -6.393842E-02  3.000000E+00  -2.443094E+02  -8.632265E+02  -3.709058E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250046E+02  8.304310E+02  4.567541E+01  -9.999942E-01  2.481042E-04  -3.389387E-03  -6.046042E-04  -9.944096E-01  1.055894E-01  -3.344242E-03  1.055909E-01  9.944040E-01  1
80  6.393842E-01  -6.393842E-02  3.000000E+00  -2.057201E+02  -7.268777E+02  -1.381327E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.249923E+02  6.994077E+02  9.539844E+01  9.999689E-01  1.636690E-04  7.889586E-03  -8.420042E-04  -9.918644E-01  1.272964E-01  7.846234E-03  -1.272990E-01  -9.918333E-01  1
97  6.393842E-01  -6.393842E-02  3.000000E+00  3.624964E+02  1.280821E+03  4.248313E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250142E+02  1.227097E+03  4.634309E+01  -9.999956E-01  1.540984E-04  2.949083E-03  -3.647760E-04  -9.974354E-01  -7.157182E-02  2.930490E-03  -7.157258E-02  9.974311E-01  1
91  6.393842E-01  -6.393842E-02  3.000000E+00  -4.774510E+02  -1.686994E+03  -4.966760E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250739E+02  1.620845E+03  5.024412E+01  -9.999982E-01  4.389077E-05  -1.875462E-03  -1.452149E-04  -9.985377E-01  5.406031E-02  -1.870347E-03  5.406049E-02  9.985359E-01  1
100  6.393842E-01  -6.393842E-02  3.000000E+00  3.393452E+02  1.199020E+03  3.235865E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250143E+02  1.148687E+03  7.140250E+01  -9.999898E-01  1.065892E-04  4.519058E-03  -4.525858E-04  -9.970593E-01  -7.663221E-02  4.497600E-03  -7.663347E-02  9.970492E-01  1
93  6.393842E-01  -6.393842E-02  3.000000E+00  1.638295E+02  5.788642E+02  -1.140335E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.250179E+02  5.575043E+02  8.845022E+01  -9.999584E-01  2.894927E-05  9.122038E-03  -1.498955E-03  -9.869233E-01  -1.611835E-01  8.998085E-03  -1.611905E-01  9.868823E-01  1
90  6.393842E-01  -6.393842E-02  3.000000E+00  -2.637632E+02  -9.319633E+02  9.280952E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.250174E+02  8.961122E+02  1.201252E+02  9.994654E-01  2.781614E-03  3.257703E-02  -4.723801E-04  -9.950419E-01  9.945506E-02  -3.269216E-02  9.941727E-02  9.945086E-01  1
99  6.393842E-01  -6.393842E-02  3.000000E+00  4.129549E+02  1.459107E+03  -1.244583E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250635E+02  1.397643E+03  1.617586E+02  9.999956E-01  -4.792994E-04  2.928793E-03  2.916596E-04  9.979668E-01  6.373501E-02  2.953386E-03  6.373388E-02  -9.979626E-01  1
